Universitas,Jurusan,Jenis,Daya Tampung,Peminat
INSTITUT PERTANIAN BOGOR,AGRIBISNIS,Saintek,49,"2,274"
INSTITUT PERTANIAN BOGOR,AGRONOMI DAN HORTIKULTURA,Saintek,73,"1,666"
INSTITUT PERTANIAN BOGOR,ARSITEKTUR LANSEKAP,Saintek,33,"1,119"
INSTITUT PERTANIAN BOGOR,BIOKIMIA,Saintek,36,682
INSTITUT PERTANIAN BOGOR,BIOLOGI,Saintek,39,808
INSTITUT PERTANIAN BOGOR,EKONOMI SUMBERDAYA DAN LINGKUNGAN,Saintek,38,751
INSTITUT PERTANIAN BOGOR,ILMU DAN TEKNOLOGI KELAUTAN,Saintek,38,976
INSTITUT PERTANIAN BOGOR,ILMU KOMPUTER,Saintek,48,"2,184"
INSTITUT PERTANIAN BOGOR,KEDOKTERAN HEWAN,Saintek,80,"1,227"
INSTITUT PERTANIAN BOGOR,KIMIA,Saintek,38,654
INSTITUT PERTANIAN BOGOR,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,Saintek,47,"1,624"
INSTITUT PERTANIAN BOGOR,KONSERVASI SUMBERDAYAHUTAN& EKOWISATA,Saintek,42,"1,026"
INSTITUT PERTANIAN BOGOR,MANAJEMEN HUTAN,Saintek,40,821
INSTITUT PERTANIAN BOGOR,STATISTIKA,Saintek,32,936
INSTITUT PERTANIAN BOGOR,TEKNIK PERTANIAN DAN BIOSISTEM,Saintek,42,932
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL HUTAN,Saintek,27,803
INSTITUT PERTANIAN BOGOR,TEKNOLOGI INDUSTRI PERTANIAN,Saintek,53,"1,375"
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PANGAN,Saintek,58,"1,703"
INSTITUT PERTANIAN BOGOR,NUTRISI DAN TEKNOLOGI PAKAN,Saintek,41,772
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PRODUKSI TERNAK,Saintek,33,864
INSTITUT PERTANIAN BOGOR,TEKNIK SIPIL DAN LINGKUNGAN,Saintek,33,"1,753"
INSTITUT PERTANIAN BOGOR,TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA,Saintek,48,814
INSTITUT PERTANIAN BOGOR,EKONOMI PEMBANGUNAN,Saintek,31,783
INSTITUT PERTANIAN BOGOR,MANAJEMEN,Saintek,47,"1,920"
INSTITUT PERTANIAN BOGOR,ILMU GIZI,Saintek,36,"2,480"
INSTITUT PERTANIAN BOGOR,EKONOMI SYARIAH,Saintek,32,"1,049"
